Username,Review
m*****3,"bungkusannya sangat rapi dan aman, ada bubble wrap, kiriman nya sangat cepat dan tepat waktu, kondisi barangnya sangat bagus, benar2 original dr Ibox, pkoknya sangat suka dan sangat beruntung skali bisa mendapatkan produk ini,, trimakasih.. luv"
a*****9,"Thanks ibox, hp nya original imei terdaftar pengiriman cepat. Walaupun sempat  deg deg an karna pengiriman jauh dan minta packing kayu tp ngga bisa.. 
tp alhamdulillah barang aman 🥰😘"
c*****k,Akhirnya update juga. Jujur baru kali ini order PO di ibox dan ga ngecewain sama sekali. Pengiriman jkt-bali cuma 2 hari dan yang nganter langsung orang office shopeenya. Bener-bener responsible banget. Barangnya juga bagus ga ada cacat sama sekali. 
ferryirawan1985,"Barang sudah sampai dan sangat cepat banget keluar pulau juga,  mantappp sesuai harapan"
mellynarahayu97,"Jjur banget nih yaa 😊
Pengiriman nyaa cepat bangettt 👍🏻👍🏻👍🏻
Besttt bangett smoga awet aja dehhh 
Minus nya cuma gak dpet bag ibox yang hitam ☺️😩"
justine_joned,Kiriman sudah sampai dengan selamat. Mantap sekali barangnya. Makasih🙏🏻👏
t*****3,"Alhamdulillah paket dah sampai, seneng bgt, baru pertama kali beli HP online, gak murah lagi, 
Deg deg an takut ga sampai, takut penipuan, 
Akhirnya barang dtang ori karna dari ibox. 
Makasih ibox"
r*****5,
putripitalokacandra,"Bagus banget, nyampenya cepet, cuman sayang bungkusnya ngeri 😭 takut kenapa-kenapa, tapi untungnya gk papa sih"
p*****n,"Alhamdulillah sudah sampai. Terimakasih banyak. Pengirimannya cepat sekali. Order tgl 6 , tgl 8 sudah sampai dengan selamat. Terimakasih yaaaa...."
t*****s,"Pengiriman cepat banget.. 2 hari proses nyampe. barang sesuai pesanan, packingan juga aman dan rapi. Dan sukaaa banget sama barangnya.. makasih"
yuliana_ps,"Kualitas Produk Sangat Baik.
Produk Original.
Harga Produk Sangat Baik.
Kecepatan Pengiriman Sangat Baik dan Cepat.
Kurir sopan & bertanggung jawab dg barang yg dikirim.
Terimakasih Erafone, Sukses selalu yaaa...."
fendisatria96,pengiriman sangat cepat pelayanan dari pihak ibox sangat baik walau pun bertemu konsumen bawel seperti saya dan pengiriman dari shopee Express sangat aman bahkan tidak di temukan goressan sedikit pun di kotak saya trimakasih
rendratriyanto,"Wow paket Iphone sudah diterima dengan kondisi baik dan bagus tidak ada cacat atau kerusakan, ini sudah digunakan beberapa minggu dan alhamdulillah lancar tidak ada kendala pada iPhone, semoga kedepannya selalu lancar dan bagus produk-produk iPhone ! Thanks iBox."
